dexnum,name,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,catch_rate
81,Magnemite,1,Electric,Steel,Magnet Pokémon,0.30,6.00,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,325,190
82,Magneton,1,Electric,Steel,Magnet Pokémon,1.00,60.00,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,465,60
83,Farfetch'd,1,Normal,Flying,Wild Duck Pokémon,0.80,15.00,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,377,45
84,Doduo,1,Normal,Flying,Twin Bird Pokémon,1.40,39.20,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310,190
85,Dodrio,1,Normal,Flying,Triple Bird Pokémon,1.80,85.20,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,470,45
86,Seel,1,Water,,Sea Lion Pokémon,1.10,90.00,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,325,190
87,Dewgong,1,Water,Ice,Sea Lion Pokémon,1.70,120.00,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,475,75
88,Grimer,1,Poison,,Sludge Pokémon,0.90,30.00,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,325,190
89,Muk,1,Poison,,Sludge Pokémon,1.20,30.00,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,500,75
90,Shellder,1,Water,,Bivalve Pokémon,0.30,4.00,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,305,190
91,Cloyster,1,Water,Ice,Bivalve Pokémon,1.50,132.50,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,525,60
92,Gastly,1,Ghost,Poison,Gas Pokémon,1.30,0.10,Levitate,,,30,35,30,100,35,80,310,190
93,Haunter,1,Ghost,Poison,Gas Pokémon,1.60,0.10,Levitate,,,45,50,45,115,55,95,405,90
94,Gengar,1,Ghost,Poison,Shadow Pokémon,1.50,40.50,Cursed Body,,,60,65,60,130,75,110,500,45
95,Onix,1,Rock,Ground,Rock Snake Pokémon,8.80,210.00,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,385,45
96,Drowzee,1,Psychic,,Hypnosis Pokémon,1.00,32.40,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,328,190
97,Hypno,1,Psychic,,Hypnosis Pokémon,1.60,75.60,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,483,75
98,Krabby,1,Water,,River Crab Pokémon,0.40,6.50,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,325,225
99,Kingler,1,Water,,Pincer Pokémon,1.30,60.00,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,475,60
100,Voltorb,1,Electric,,Ball Pokémon,0.50,10.40,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,190
101,Electrode,1,Electric,,Ball Pokémon,1.20,66.60,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,60
102,Exeggcute,1,Grass,Psychic,Egg Pokémon,0.40,2.50,Chlorophyll,Harvest,,60,40,80,60,45,40,325,90
103,Exeggutor,1,Grass,Psychic,Coconut Pokémon,2.00,120.00,Chlorophyll,Harvest,,95,95,85,125,75,55,530,45
104,Cubone,1,Ground,,Lonely Pokémon,0.40,6.50,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,320,190
105,Marowak,1,Ground,,Bone Keeper Pokémon,1.00,45.00,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,425,75
106,Hitmonlee,1,Fighting,,Kicking Pokémon,1.50,49.80,Limber,Reckless,Unburden,50,120,53,35,110,87,455,45
107,Hitmonchan,1,Fighting,,Punching Pokémon,1.40,50.20,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,455,45
108,Lickitung,1,Normal,,Licking Pokémon,1.20,65.50,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,385,45
109,Koffing,1,Poison,,Poison Gas Pokémon,0.60,1.00,Levitate,Neutralizing Gas,Stench,40,65,95,60,45,35,340,190
110,Weezing,1,Poison,,Poison Gas Pokémon,1.20,9.50,Levitate,Neutralizing Gas,Stench,65,90,120,85,70,60,490,60
111,Rhyhorn,1,Ground,Rock,Spikes Pokémon,1.00,115.00,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,345,120
112,Rhydon,1,Ground,Rock,Drill Pokémon,1.90,120.00,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,485,60
113,Chansey,1,Normal,,Egg Pokémon,1.10,34.60,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,450,30
114,Tangela,1,Grass,,Vine Pokémon,1.00,35.00,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,435,45
115,Kangaskhan,1,Normal,,Parent Pokémon,2.20,80.00,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,490,45
116,Horsea,1,Water,,Dragon Pokémon,0.40,8.00,Swift Swim,Sniper,Damp,30,40,70,70,25,60,295,225
117,Seadra,1,Water,,Dragon Pokémon,1.20,25.00,Poison Point,Sniper,Damp,55,65,95,95,45,85,440,75
118,Goldeen,1,Water,,Goldfish Pokémon,0.60,15.00,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,320,225
119,Seaking,1,Water,,Goldfish Pokémon,1.30,39.00,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,450,60
120,Staryu,1,Water,,Star Shape Pokémon,0.80,34.50,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,340,225
121,Starmie,1,Water,Psychic,Mysterious Pokémon,1.10,80.00,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,520,60
122,Mr. Mime,1,Psychic,Fairy,Barrier Pokémon,1.30,54.50,Soundproof,Filter,Technician,40,45,65,100,120,90,460,45
123,Scyther,1,Bug,Flying,Mantis Pokémon,1.50,56.00,Swarm,Technician,Steadfast,70,110,80,55,80,105,500,45
124,Jynx,1,Ice,Psychic,Human Shape Pokémon,1.40,40.60,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,455,45
125,Electabuzz,1,Electric,,Electric Pokémon,1.10,30.00,Static,Vital Spirit,,65,83,57,95,85,105,490,45
126,Magmar,1,Fire,,Spitfire Pokémon,1.30,44.50,Flame Body,Vital Spirit,,65,95,57,100,85,93,495,45
127,Pinsir,1,Bug,,Stag Beetle Pokémon,1.50,55.00,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,500,45
128,Tauros,1,Normal,,Wild Bull Pokémon,1.40,88.40,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,490,45
129,Magikarp,1,Water,,Fish Pokémon,0.90,10.00,Swift Swim,Rattled,,20,10,55,15,20,80,200,255
130,Gyarados,1,Water,Flying,Atrocious Pokémon,6.50,235.00,Intimidate,Moxie,,95,125,79,60,100,81,540,45
131,Lapras,1,Water,Ice,Transport Pokémon,2.50,220.00,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,535,45
132,Ditto,1,Normal,,Transform Pokémon,0.30,4.00,Limber,Imposter,,48,48,48,48,48,48,288,35
133,Eevee,1,Normal,,Evolution Pokémon,0.30,6.50,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325,45
134,Vaporeon,1,Water,,Bubble Jet Pokémon,1.00,29.00,Water Absorb,Hydration,,130,65,60,110,95,65,525,45
135,Jolteon,1,Electric,,Lightning Pokémon,0.80,24.50,Volt Absorb,Quick Feet,,65,65,60,110,95,130,525,45
136,Flareon,1,Fire,,Flame Pokémon,0.90,25.00,Flash Fire,Guts,,65,130,60,95,110,65,525,45
137,Porygon,1,Normal,,Virtual Pokémon,0.80,36.50,Trace,Download,Analytic,65,60,70,85,75,40,395,45
138,Omanyte,1,Rock,Water,Spiral Pokémon,0.40,7.50,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,355,45
139,Omastar,1,Rock,Water,Spiral Pokémon,1.00,35.00,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,495,45
140,Kabuto,1,Rock,Water,Shellfish Pokémon,0.50,11.50,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,355,45
141,Kabutops,1,Rock,Water,Shellfish Pokémon,1.30,40.50,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,495,45
142,Aerodactyl,1,Rock,Flying,Fossil Pokémon,1.80,59.00,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,515,45
143,Snorlax,1,Normal,,Sleeping Pokémon,2.10,460.00,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,540,25
144,Articuno,1,Ice,Flying,Freeze Pokémon,1.70,55.40,Pressure,Snow Cloak,,90,85,100,95,125,85,580,3
145,Zapdos,1,Electric,Flying,Electric Pokémon,1.60,52.60,Pressure,Static,,90,90,85,125,90,100,580,3
146,Moltres,1,Fire,Flying,Flame Pokémon,2.00,60.00,Pressure,Flame Body,,90,100,90,125,85,90,580,3
147,Dratini,1,Dragon,,Dragon Pokémon,1.80,3.30,Shed Skin,Marvel Scale,,41,64,45,50,50,50,300,45
148,Dragonair,1,Dragon,,Dragon Pokémon,4.00,16.50,Shed Skin,Marvel Scale,,61,84,65,70,70,70,420,45
149,Dragonite,1,Dragon,Flying,Dragon Pokémon,2.20,210.00,Inner Focus,Multiscale,,91,134,95,100,100,80,600,45
150,Mewtwo,1,Psychic,,Genetic Pokémon,2.00,122.00,Pressure,Unnerve,,106,110,90,154,90,130,680,3
151,Mew,1,Psychic,,New Species Pokémon,0.40,4.00,Synchronize,,,100,100,100,100,100,100,600,45
152,Chikorita,2,Grass,,Leaf Pokémon,0.90,6.40,Overgrow,Leaf Guard,,45,49,65,49,65,45,318,45
153,Bayleef,2,Grass,,Leaf Pokémon,1.20,15.80,Overgrow,Leaf Guard,,60,62,80,63,80,60,405,45
154,Meganium,2,Grass,,Herb Pokémon,1.80,100.50,Overgrow,Leaf Guard,,80,82,100,83,100,80,525,45
155,Cyndaquil,2,Fire,,Fire Mouse Pokémon,0.50,7.90,Blaze,Flash Fire,,39,52,43,60,50,65,309,45
156,Quilava,2,Fire,,Volcano Pokémon,0.90,19.00,Blaze,Flash Fire,,58,64,58,80,65,80,405,45
157,Typhlosion,2,Fire,,Volcano Pokémon,1.70,79.50,Blaze,Flash Fire,,78,84,78,109,85,100,534,45
158,Totodile,2,Water,,Big Jaw Pokémon,0.60,9.50,Torrent,Sheer Force,,50,65,64,44,48,43,314,45
159,Croconaw,2,Water,,Big Jaw Pokémon,1.10,25.00,Torrent,Sheer Force,,65,80,80,59,63,58,405,45
160,Feraligatr,2,Water,,Big Jaw Pokémon,2.30,88.80,Torrent,Sheer Force,,85,105,100,79,83,78,530,45
161,Sentret,2,Normal,,Scout Pokémon,0.80,6.00,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,215,255
162,Furret,2,Normal,,Long Body Pokémon,1.80,32.50,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,415,90
163,Hoothoot,2,Normal,Flying,Owl Pokémon,0.70,21.20,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,262,255
164,Noctowl,2,Normal,Flying,Owl Pokémon,1.60,40.80,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,452,90
165,Ledyba,2,Bug,Flying,Five Star Pokémon,1.00,10.80,Swarm,Early Bird,Rattled,40,20,30,40,80,55,265,255
166,Ledian,2,Bug,Flying,Five Star Pokémon,1.40,35.60,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,390,90
167,Spinarak,2,Bug,Poison,String Spit Pokémon,0.50,8.50,Swarm,Insomnia,Sniper,40,60,40,40,40,30,250,255
168,Ariados,2,Bug,Poison,Long Leg Pokémon,1.10,33.50,Swarm,Insomnia,Sniper,70,90,70,60,70,40,400,90
169,Crobat,2,Poison,Flying,Bat Pokémon,1.80,75.00,Inner Focus,Infiltrator,,85,90,80,70,80,130,535,90
170,Chinchou,2,Water,Electric,Angler Pokémon,0.50,12.00,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,330,190
171,Lanturn,2,Water,Electric,Light Pokémon,1.20,22.50,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,460,75
172,Pichu,2,Electric,,Tiny Mouse Pokémon,0.30,2.00,Static,Lightning Rod,,20,40,15,35,35,60,205,190
173,Cleffa,2,Fairy,,Star Shape Pokémon,0.30,3.00,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,218,150
174,Igglybuff,2,Normal,Fairy,Balloon Pokémon,0.30,1.00,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,210,170
175,Togepi,2,Fairy,,Spike Ball Pokémon,0.30,1.50,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,245,190
176,Togetic,2,Fairy,Flying,Happiness Pokémon,0.60,3.20,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,405,75
177,Natu,2,Psychic,Flying,Tiny Bird Pokémon,0.20,2.00,Synchronize,Early Bird,Magic Bounce,40,50,45,70,45,70,320,190
178,Xatu,2,Psychic,Flying,Mystic Pokémon,1.50,15.00,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,470,75
179,Mareep,2,Electric,,Wool Pokémon,0.60,7.80,Static,Plus,,55,40,40,65,45,35,280,235
180,Flaaffy,2,Electric,,Wool Pokémon,0.80,13.30,Static,Plus,,70,55,55,80,60,45,365,120
181,Ampharos,2,Electric,,Light Pokémon,1.40,61.50,Static,Plus,,90,75,85,115,90,55,510,45
182,Bellossom,2,Grass,,Flower Pokémon,0.40,5.80,Chlorophyll,Healer,,75,80,95,90,100,50,490,45
183,Marill,2,Water,Fairy,Aqua Mouse Pokémon,0.40,8.50,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,250,190
184,Azumarill,2,Water,Fairy,Aqua Rabbit Pokémon,0.80,28.50,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,420,75
185,Sudowoodo,2,Rock,,Imitation Pokémon,1.20,38.00,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,410,65
186,Politoed,2,Water,,Frog Pokémon,1.10,33.90,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,500,45
187,Hoppip,2,Grass,Flying,Cottonweed Pokémon,0.40,0.50,Chlorophyll,Leaf Guard,Infiltrator,35,35,40,35,55,50,250,255
188,Skiploom,2,Grass,Flying,Cottonweed Pokémon,0.60,1.00,Chlorophyll,Leaf Guard,Infiltrator,55,45,50,45,65,80,340,120
189,Jumpluff,2,Grass,Flying,Cottonweed Pokémon,0.80,3.00,Chlorophyll,Leaf Guard,Infiltrator,75,55,70,55,95,110,460,45
190,Aipom,2,Normal,,Long Tail Pokémon,0.80,11.50,Run Away,Pickup,Skill Link,55,70,55,40,55,85,360,45
191,Sunkern,2,Grass,,Seed Pokémon,0.30,1.80,Chlorophyll,Solar Power,Early Bird,30,30,30,30,30,30,180,235
192,Sunflora,2,Grass,,Sun Pokémon,0.80,8.50,Chlorophyll,Solar Power,Early Bird,75,75,55,105,85,30,425,120
193,Yanma,2,Bug,Flying,Clear Wing Pokémon,1.20,38.00,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,390,75
194,Wooper,2,Water,Ground,Water Fish Pokémon,0.40,8.50,Damp,Water Absorb,Unaware,55,45,45,25,25,15,210,255
195,Quagsire,2,Water,Ground,Water Fish Pokémon,1.40,75.00,Damp,Water Absorb,Unaware,95,85,85,65,65,35,430,90
196,Espeon,2,Psychic,,Sun Pokémon,0.90,26.50,Synchronize,Magic Bounce,,65,65,60,130,95,110,525,45
197,Umbreon,2,Dark,,Moonlight Pokémon,1.00,27.00,Synchronize,Inner Focus,,95,65,110,60,130,65,525,45
198,Murkrow,2,Dark,Flying,Darkness Pokémon,0.50,2.10,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,405,30
199,Slowking,2,Water,Psychic,Royal Pokémon,2.00,79.50,Oblivious,Own Tempo,Regenerator,95,75,80,100,110,30,490,70
200,Misdreavus,2,Ghost,,Screech Pokémon,0.70,1.00,Levitate,,,60,60,60,85,85,85,435,45
201,Unown,2,Psychic,,Symbol Pokémon,0.50,5.00,Levitate,,,48,72,48,72,48,48,336,225
202,Wobbuffet,2,Psychic,,Patient Pokémon,1.30,28.50,Shadow Tag,Telepathy,,190,33,58,33,58,33,405,45
203,Girafarig,2,Normal,Psychic,Long Neck Pokémon,1.50,41.50,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,455,60
204,Pineco,2,Bug,,Bagworm Pokémon,0.60,7.20,Sturdy,Overcoat,,50,65,90,35,35,15,290,190
205,Forretress,2,Bug,Steel,Bagworm Pokémon,1.20,125.80,Sturdy,Overcoat,,75,90,140,60,60,40,465,75
206,Dunsparce,2,Normal,,Land Snake Pokémon,1.50,14.00,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,415,190
